category,@id,name,description,supersededBy,nameZh,descriptionZh,alternateName,wikidataName,wikidataUrl,wikipediaUrl,schemaorgUrl
property,http://cnschema.org/about,about,The subject matter of the content.,,关于,事物的关于信息,,,,,http://schema.org/about
property,http://cnschema.org/acceptedAnswer,acceptedAnswer,"The answer that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.",,被采纳的答案,被接受的最佳答案，通常是出现在问答网站上。不同的网站选择的机制不同，例如社区观点、提问者的观点。,,,,,http://schema.org/acceptedAnswer
property,http://cnschema.org/acceptedOffer,acceptedOffer,"The offer(s) -- e.g., product, quantity and price combinations -- included in the order.",,被接受的报价,报价，例如订单中包含的产品、数量、价格的组合,,,,,http://schema.org/acceptedOffer
property,http://cnschema.org/acceptedPaymentMethod,acceptedPaymentMethod,The payment method(s) accepted by seller for this offer.,,卖家接受的支付方式,卖家接受的支付方式，现金、信用卡等。,,payment types accepted,https://www.wikidata.org/entity/P2851,,http://schema.org/acceptedPaymentMethod
property,http://cnschema.org/acceptsReservations,acceptsReservations,"Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings Yes or No.",,是否接受预定,表示食品相关的企业是否接受预订，值可以是布尔型或者URL。,,,,,http://schema.org/acceptsReservations
property,http://cnschema.org/accessCode,accessCode,"Password, PIN, or access code needed for delivery (e.g. from a locker).",,存取码,密码。或者个人识别码（英语：Personal identification number，缩写为 PIN），又译为用户个人识别号码，常被称为PIN码（PIN number），是一串数字构成的通行码，用来认证使用者身份，授权他进入系统。或者访问某个系统所需要的认证码。,接入码,,,,http://schema.org/accessCode
property,http://cnschema.org/accessMode,accessMode,"The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Expected values include: auditory, tactile, textual, visual, colorDependent, chartOnVisual, chemOnVisual, diagramOnVisual, mathOnVisual, musicOnVisual, textOnVisual.",,感知形式,人类感知外部信息的一种方式，例如：听觉，触觉，文字，视觉，颜色相关，图表，化学视觉，图表视觉，数学公式视觉，音乐视觉。,,,,,http://schema.org/accessMode
property,http://cnschema.org/accessModeSufficient,accessModeSufficient,"A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Expected values include: auditory, tactile, textual, visual.",,全部感知形式,用于全面感知一个资源的所有感知形式的列表,,,,,http://schema.org/accessModeSufficient
property,http://cnschema.org/accessibilityAPI,accessibilityAPI,Indicates that the resource is compatible with the referenced accessibility API (WebSchemas wiki lists possible values).,,无障碍环境服务API,用于支持系统达成无障碍环境的API,,,,,http://schema.org/accessibilityAPI
property,http://cnschema.org/accessibilityControl,accessibilityControl,Identifies input methods that are sufficient to fully control the described resource (WebSchemas wiki lists possible values).,,无障碍环境服务控制方法,用于支持系统达成无障碍环境的输入方法,,,,,http://schema.org/accessibilityControl
property,http://cnschema.org/accessibilityFeature,accessibilityFeature,"Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility (WebSchemas wiki lists possible values).",,无障碍环境服务内容特性,用于支持系统达成无障碍环境的输出形式，例如可访问媒体,,,,,http://schema.org/accessibilityFeature
property,http://cnschema.org/accessibilityHazard,accessibilityHazard,A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3 (WebSchemas wiki lists possible values).,,无障碍环境服务的连带风险,系统可能对使用者产生生理危害,,,,,http://schema.org/accessibilityHazard
property,http://cnschema.org/accessibilitySummary,accessibilitySummary,"A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed.""",,无障碍环境服务的总结,达成无障碍环境可能遇到的风险的摘要描述，例如“提供了简短的描述，但非视觉用户将需要较长的描述”或“提供了简短描述，也不需要更长的描述“。,,,,,http://schema.org/accessibilitySummary
property,http://cnschema.org/accountId,accountId,The identifier for the account the payment will be applied to.,,账户ID,账户的编号，例如银行账号，软件系统登陆账号。,,,,,http://schema.org/accountId
property,http://cnschema.org/accountablePerson,accountablePerson,Specifies the Person that is legally accountable for the CreativeWork.,,负责人,对CreativeWork负有法律责任的特定的人。,,,,,http://schema.org/accountablePerson
property,http://cnschema.org/acquiredFrom,acquiredFrom,The organization or person from which the product was acquired.,,获取来源,产品获取的机构来源,,,,,http://schema.org/acquiredFrom
property,http://cnschema.org/actionApplication,actionApplication,An application that can complete the request.,,执行操作的应用,可以完成该请求的应用程序。,,,,,http://schema.org/actionApplication
property,http://cnschema.org/actionOption,actionOption,A sub property of object. The options subject to this action.,,执行操作的选项,对象的子属性，受此操作约束的选项。,,,,,http://schema.org/actionOption
property,http://cnschema.org/actionPlatform,actionPlatform,"The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.",,执行操作的平台,对给定URL执行操作的高级平台（要指定特定的应用程序或操作系统实例需使用actionApplication）,,,,,http://schema.org/actionPlatform
property,http://cnschema.org/actionStatus,actionStatus,Indicates the current disposition of the Action.,,执行操作的状态,表示当前执行操作的状态,,,,,http://schema.org/actionStatus
property,http://cnschema.org/actor,actor,"An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.",,演员,电视、广播、电影、视频游戏或事件中的演员， 演员既可以与单个项目关联，又可以与一系列剧集、情节相关联。,,,,,http://schema.org/actor
property,http://cnschema.org/actors,actors,"An actor, e.g. in tv, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.",http://schema.org/actor,演员们,演员的复数形式,,,,,http://schema.org/actors
property,http://cnschema.org/addOn,addOn,An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).,,附加品,购买商品的附带赠品。,,,,,http://schema.org/addOn
property,http://cnschema.org/additionalName,additionalName,"An additional name for a Person, can be used for a middle name.",,附加名称,人（Person）的别名，可用作中间名字。,,,,,http://schema.org/additionalName
property,http://cnschema.org/additionalNumberOfGuests,additionalNumberOfGuests,"If responding yes, the number of guests who will attend in addition to the invitee.",,其余的客户人数,被邀请人之外，确认参加活动的客人,,,,,http://schema.org/additionalNumberOfGuests
